trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
15,0.5,5.5,22.738459300249815,23.238900400698185,23.238900400698185,23.238900400698185,23.538868499919772,left,-5.5,1,1,0.6473734006285667,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
16,0.5,5.5,23.905812000855803,24.406031500548124,24.406031500548124,24.406031500548124,24.7059009000659,right,5.5,1,1,0.8904521986842155,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
17,0.5,5.0,25.322873501107097,25.82321340031922,25.82321340031922,25.82321340031922,26.12314449995756,left,-5.0,1,1,0.7419530991464853,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
18,0.5,5.0,26.59003240056336,27.090507701039314,27.090507701039314,27.090507701039314,27.390333000570536,right,5.0,1,1,0.9065861999988556,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
19,0.5,5.0,28.024040499702096,28.52432000078261,28.52432000078261,28.52432000078261,28.824191400781274,right,5.0,0,0,1.6589406002312899,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
20,0.5,5.5,30.208136599510908,30.708397399634123,30.708397399634123,30.708397399634123,31.00826090015471,right,5.5,0,0,0.8507273998111486,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
21,0.5,6.0,31.591890500858426,32.09510130062699,32.09510130062699,32.09510130062699,32.40770970098674,right,6.0,1,1,0.812150601297617,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
22,0.5,6.0,32.92574289999902,33.42609750106931,33.42609750106931,33.42609750106931,33.72603510133922,left,-6.0,1,1,0.650025999173522,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
23,0.5,6.0,34.092842100188136,34.59312259964645,34.59312259964645,34.59312259964645,,right,6.0,0,0,0.021902401000261307,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
24,0.5,6.5,34.64287910051644,35.14329210110009,35.14329210110009,35.14329210110009,35.44333220086992,right,6.5,1,1,0.5115846991539001,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
25,0.5,6.5,35.67682920023799,36.1769955009222,36.1769955009222,36.1769955009222,36.47697059996426,left,-6.5,0,0,0.3662522006779909,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
26,0.5,7.0,36.56029670126736,37.060574900358915,37.060574900358915,37.060574900358915,,right,7.0,1,1,0.14096719957888126,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
27,0.5,7.0,37.22737240046263,37.72804110124707,37.72804110124707,37.72804110124707,38.02750330045819,right,7.0,1,1,0.30751390010118484,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
28,0.5,7.0,38.061096699908376,38.561290100216866,38.561290100216866,38.561290100216866,38.86143570020795,left,-7.0,0,0,0.3481596000492573,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
29,0.5,7.5,38.92805140092969,39.428560400381684,39.428560400381684,39.428560400381684,39.728350101038814,left,-7.5,0,0,0.29767789877951145,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
30,0.5,8.0,39.74488880112767,40.2452584002167,40.2452584002167,40.2452584002167,40.54524560086429,right,8.0,1,1,0.3279374986886978,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
31,0.5,8.0,40.59510000050068,41.09587570093572,41.09587570093572,41.09587570093572,41.3955608997494,left,-8.0,0,0,0.3405451010912657,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
32,0.5,8.5,41.462302600964904,41.96278100088239,41.96278100088239,41.96278100088239,42.26244639977813,right,8.5,1,1,0.3174360003322363,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
33,0.5,8.5,42.31239530071616,42.81315170042217,42.81315170042217,42.81315170042217,43.11212200112641,left,-8.5,0,0,0.3113415986299515,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
34,0.5,9.0,43.145520901307464,43.63001540116966,43.63001540116966,43.64669790118933,43.929924400523305,left,-9.0,0,0,0.3175419997423887,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
35,0.5,9.5,43.97968040034175,44.48010700009763,44.48010700009763,44.48010700009763,44.78040140122175,left,-9.5,0,0,0.305927999317646,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
36,0.5,10.0,44.81331850029528,45.31391829997301,45.31391829997301,45.31391829997301,45.61381380073726,left,-10.0,0,0,0.29630319960415363,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
37,0.5,10.5,45.63052030093968,46.13094310089946,46.13094310089946,46.13094310089946,46.430816100910306,left,-10.5,0,0,0.3762692008167505,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
38,0.5,11.0,46.53097050078213,47.03125189989805,47.03125189989805,47.03125189989805,47.33124580048025,right,11.0,1,1,0.3225462008267641,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
39,0.5,11.0,47.38117999956012,47.881515400484204,47.881515400484204,47.881515400484204,48.18142930045724,right,11.0,1,1,0.3388584014028311,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
40,0.5,11.0,48.248261200264096,48.748478600755334,48.748478600755334,48.748478600755334,49.048556100577116,right,11.0,1,1,0.35514009930193424,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
41,0.5,10.5,49.13181469962001,49.63211899995804,49.63211899995804,49.63211899995804,49.93235919997096,right,10.5,1,1,0.29614900052547455,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
42,0.5,10.5,49.94890930131078,50.44931020028889,50.44931020028889,50.44931020028889,50.749169301241636,left,-10.5,0,0,0.3777021002024412,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
43,0.5,11.0,50.84905590116978,51.3495771009475,51.3495771009475,51.3495771009475,51.649436701089144,left,-11.0,0,0,0.36110479943454266,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
44,0.5,11.5,51.732657700777054,52.23310009948909,52.23310009948909,52.23310009948909,52.53320970013738,right,11.5,1,1,0.36987200006842613,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
45,0.5,11.5,52.63223630003631,53.116877200081944,53.116877200081944,53.133606500923634,53.41666540130973,right,11.5,1,1,0.3683774992823601,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
46,0.5,11.5,53.516845701262355,54.017060700803995,54.017060700803995,54.017060700803995,54.31719860062003,right,11.5,1,1,0.3810134995728731,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
47,0.5,11.0,54.41705800034106,54.91757280007005,54.91757280007005,54.91757280007005,55.21736670099199,left,-11.0,0,0,0.3706806004047394,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
48,0.5,11.5,55.31749220006168,55.817860500887036,55.817860500887036,55.817860500887036,56.11764859966934,right,11.5,1,1,0.45560980029404163,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
49,0.5,11.5,56.30139230005443,56.80159809999168,56.80159809999168,56.80159809999168,57.10134750045836,right,11.5,1,1,0.47233240120112896,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
